,accuracy_score,average_precision_score,f1_score,fn,fp,name,roc_auc_score,tn,tp
0,0.5637709875899468,0.42576409482276995,0.23205434183954468,48,4135,ComplementNB-alpha0.0fit_priorTruenormTrue--tfidf-ngram,0.8585297914204406,4774,632
0,0.8160392115966212,0.48122707283254984,0.39214334941419715,111,1653,ComplementNB-alpha0.0fit_priorTruenormFalse--tfidf-ngram,0.8892989904458809,7256,569
0,0.5637709875899468,0.42576409482276995,0.23205434183954468,48,4135,ComplementNB-alpha0.0fit_priorFalsenormTrue--tfidf-ngram,0.8585297914204406,4774,632
0,0.8160392115966212,0.48122707283254984,0.39214334941419715,111,1653,ComplementNB-alpha0.0fit_priorFalsenormFalse--tfidf-ngram,0.8892989904458809,7256,569
0,0.7253102513296485,0.6426687421146053,0.3270311701584057,40,2594,ComplementNB-alpha0.2fit_priorTruenormTrue--tfidf-ngram,0.9279135276290336,6315,640
0,0.82448639065596,0.6518649666982794,0.4142011834319526,85,1598,ComplementNB-alpha0.2fit_priorTruenormFalse--tfidf-ngram,0.9307956098591643,7311,595
0,0.7253102513296485,0.6426687421146053,0.3270311701584057,40,2594,ComplementNB-alpha0.2fit_priorFalsenormTrue--tfidf-ngram,0.9279135276290336,6315,640
0,0.82448639065596,0.6518649666982794,0.4142011834319526,85,1598,ComplementNB-alpha0.2fit_priorFalsenormFalse--tfidf-ngram,0.9307956098591643,7311,595
0,0.7444989049953071,0.6528504567974784,0.3413978494623656,45,2405,ComplementNB-alpha0.4fit_priorTruenormTrue--tfidf-ngram,0.9307999016196444,6504,635
0,0.8241735321722807,0.6594940148215997,0.41701244813278016,77,1609,ComplementNB-alpha0.4fit_priorTruenormFalse--tfidf-ngram,0.9330775058929173,7300,603
0,0.7444989049953071,0.6528504567974784,0.3413978494623656,45,2405,ComplementNB-alpha0.4fit_priorFalsenormTrue--tfidf-ngram,0.9307999016196444,6504,635
0,0.8241735321722807,0.6594940148215997,0.41701244813278016,77,1609,ComplementNB-alpha0.4fit_priorFalsenormFalse--tfidf-ngram,0.9330775058929173,7300,603
0,0.7549275211179477,0.6564929038067804,0.3497509684560044,48,2302,ComplementNB-alpha0.6000000000000001fit_priorTruenormTrue--tfidf-ngram,0.9319454715324227,6607,632
0,0.8233392428824695,0.6617989056949117,0.4182692307692307,71,1623,ComplementNB-alpha0.6000000000000001fit_priorTruenormFalse--tfidf-ngram,0.9339191861501588,7286,609
0,0.7549275211179477,0.6564929038067804,0.3497509684560044,48,2302,ComplementNB-alpha0.6000000000000001fit_priorFalsenormTrue--tfidf-ngram,0.9319454715324227,6607,632
0,0.8233392428824695,0.6617989056949117,0.4182692307692307,71,1623,ComplementNB-alpha0.6000000000000001fit_priorFalsenormFalse--tfidf-ngram,0.9339191861501588,7286,609
0,0.7599332568568151,0.6581347819474885,0.35409652076318743,49,2253,ComplementNB-alpha0.8fit_priorTruenormTrue--tfidf-ngram,0.9325453275933788,6656,631
0,0.8202106580456774,0.6628736188064865,0.41360544217687073,72,1652,ComplementNB-alpha0.8fit_priorTruenormFalse--tfidf-ngram,0.9342442044726748,7257,608
0,0.7599332568568151,0.6581347819474885,0.35409652076318743,49,2253,ComplementNB-alpha0.8fit_priorFalsenormTrue--tfidf-ngram,0.9325453275933788,6656,631
0,0.8202106580456774,0.6628736188064865,0.41360544217687073,72,1652,ComplementNB-alpha0.8fit_priorFalsenormFalse--tfidf-ngram,0.9342442044726748,7257,608
