,accuracy_score,average_precision_score,f1_score,fn,fp,name,roc_auc_score,tn,tp
0,0.7792064150421678,0.7842334465942671,0.710321059314348,492,1105,LogisticRegression-C1class_weightNonen_jobs-1penaltynonesolversaga--tfidf-ngram,0.8688793217475157,3678,1958
0,0.8172266003041615,0.8317363229758149,0.7534502051473331,430,892,LogisticRegression-C1class_weightNonen_jobs-1penaltyl2solversaga--tfidf-ngram,0.9027730013184452,3891,2020
0,0.8235863403843495,0.8512817310978943,0.766043270993766,361,915,LogisticRegression-C1class_weightNonen_jobs-1penaltyl1solversaga--tfidf-ngram,0.9153095358988254,3868,2089
0,0.7785151389464953,0.7846560170439352,0.708938953488372,499,1103,LogisticRegression-C1class_weightbalancedn_jobs-1penaltynonesolversaga--tfidf-ngram,0.868951345539261,3680,1951
0,0.8172266003041615,0.8317374574088279,0.7534502051473331,430,892,LogisticRegression-C1class_weightbalancedn_jobs-1penaltyl2solversaga--tfidf-ngram,0.902774196025891,3891,2020
0,0.8235863403843495,0.8512838128460162,0.766043270993766,361,915,LogisticRegression-C1class_weightbalancedn_jobs-1penaltyl1solversaga--tfidf-ngram,0.9153090238813487,3868,2089
0,0.7790681598230333,0.7850434413586043,0.7096656976744187,497,1101,LogisticRegression-C0.5class_weightNonen_jobs-1penaltynonesolversaga--tfidf-ngram,0.8693583140971213,3682,1953
0,0.8157057928936817,0.8246118232955943,0.7515377446411929,434,899,LogisticRegression-C0.5class_weightNonen_jobs-1penaltyl2solversaga--tfidf-ngram,0.899141602700039,3884,2016
0,0.7912346191068713,0.8234917738256499,0.7366585280781304,338,1172,LogisticRegression-C0.5class_weightNonen_jobs-1penaltyl1solversaga--tfidf-ngram,0.8974985386167847,3611,2112
0,0.7786533941656297,0.7845048857541236,0.7090677812102488,499,1102,LogisticRegression-C0.5class_weightbalancedn_jobs-1penaltynonesolversaga--tfidf-ngram,0.8690597225718638,3681,1951
0,0.8157057928936817,0.8246108772865062,0.7515377446411929,434,899,LogisticRegression-C0.5class_weightbalancedn_jobs-1penaltyl2solversaga--tfidf-ngram,0.8991410906825619,3884,2016
0,0.7912346191068713,0.8234906160034944,0.7366585280781304,338,1172,LogisticRegression-C0.5class_weightbalancedn_jobs-1penaltyl1solversaga--tfidf-ngram,0.8974978559268156,3611,2112
0,0.7801742015761095,0.7851475876412084,0.7114337568058076,490,1100,LogisticRegression-C5class_weightNonen_jobs-1penaltynonesolversaga--tfidf-ngram,0.8693911685518865,3683,1960
0,0.8140467302640675,0.8306947066313154,0.7495810835970955,437,908,LogisticRegression-C5class_weightNonen_jobs-1penaltyl2solversaga--tfidf-ngram,0.9005827612249165,3875,2013
0,0.824001106041753,0.8439694287168521,0.7627213420316868,404,869,LogisticRegression-C5class_weightNonen_jobs-1penaltyl1solversaga--tfidf-ngram,0.9089705461946436,3914,2046
0,0.7796211806995714,0.784793168112428,0.7104976389393388,494,1100,LogisticRegression-C5class_weightbalancedn_jobs-1penaltynonesolversaga--tfidf-ngram,0.8693752106738577,3683,1956
0,0.8140467302640675,0.8306971358824556,0.7496742974129909,436,909,LogisticRegression-C5class_weightbalancedn_jobs-1penaltyl2solversaga--tfidf-ngram,0.9005841266048548,3874,2014
0,0.8241393612608876,0.8440068066614695,0.7628635346756152,404,868,LogisticRegression-C5class_weightbalancedn_jobs-1penaltyl1solversaga--tfidf-ngram,0.9089984511471325,3915,2046
