,accuracy_score,average_precision_score,f1_score,fn,fp,name,roc_auc_score,tn,tp
0,0.9393333333333334,0.5723356419256069,0.5509868421052632,342,204,SVR-C1epsilon0.1gamma0.001kernelrbf--tfidf-ngram,0.9119504936490525,8119,335
0,0.9393333333333334,0.5723148718766283,0.5509868421052632,342,204,SVR-C1epsilon0.1gamma0.0001kernelrbf--tfidf-ngram,0.9119426848524075,8119,335
0,0.9393333333333334,0.5723356419256069,0.5509868421052632,342,204,SVR-C1epsilon0.01gamma0.001kernelrbf--tfidf-ngram,0.9119504936490525,8119,335
0,0.9393333333333334,0.5723148718766283,0.5509868421052632,342,204,SVR-C1epsilon0.01gamma0.0001kernelrbf--tfidf-ngram,0.9119426848524075,8119,335
0,0.9393333333333334,0.5723356419256069,0.5509868421052632,342,204,SVR-C1epsilon0.001gamma0.001kernelrbf--tfidf-ngram,0.9119504936490525,8119,335
0,0.9393333333333334,0.5723148718766283,0.5509868421052632,342,204,SVR-C1epsilon0.001gamma0.0001kernelrbf--tfidf-ngram,0.9119426848524075,8119,335
0,0.9331111111111111,0.5871527597329914,0.569384835479256,279,323,SVR-C10epsilon0.1gamma0.001kernelrbf--tfidf-ngram,0.9156321637944789,8000,398
0,0.9393333333333334,0.5723148718766283,0.5509868421052632,342,204,SVR-C10epsilon0.1gamma0.0001kernelrbf--tfidf-ngram,0.9119426848524075,8119,335
0,0.9354444444444444,0.5850036604009884,0.5724797645327447,288,293,SVR-C10epsilon0.01gamma0.001kernelrbf--tfidf-ngram,0.9142514265695371,8030,389
0,0.9393333333333334,0.5723148718766283,0.5509868421052632,342,204,SVR-C10epsilon0.01gamma0.0001kernelrbf--tfidf-ngram,0.9119426848524075,8119,335
0,0.9356666666666666,0.5858688782000324,0.5745775165319618,286,293,SVR-C10epsilon0.001gamma0.001kernelrbf--tfidf-ngram,0.9142027990631574,8030,391
0,0.9393333333333334,0.5723148718766283,0.5509868421052632,342,204,SVR-C10epsilon0.001gamma0.0001kernelrbf--tfidf-ngram,0.9119426848524075,8119,335
0,0.8708888888888889,0.5731166741674174,0.47845601436265706,144,1018,SVR-C100epsilon0.1gamma0.001kernelrbf--tfidf-ngram,0.9204069767338678,7305,533
0,0.9331111111111111,0.5872503510866234,0.569384835479256,279,323,SVR-C100epsilon0.1gamma0.0001kernelrbf--tfidf-ngram,0.9156200956542095,8000,398
0,0.8748888888888889,0.562819000041341,0.47725162488393685,163,963,SVR-C100epsilon0.01gamma0.001kernelrbf--tfidf-ngram,0.9153022421362311,7360,514
0,0.9353333333333333,0.5850344769167058,0.5720588235294117,288,294,SVR-C100epsilon0.01gamma0.0001kernelrbf--tfidf-ngram,0.9142496518430269,8029,389
0,0.8763333333333333,0.5613162527660918,0.48063462435837623,162,951,SVR-C100epsilon0.001gamma0.001kernelrbf--tfidf-ngram,0.9149025737261324,7372,515
0,0.9356666666666666,0.5856845110352605,0.5745775165319618,286,293,SVR-C100epsilon0.001gamma0.0001kernelrbf--tfidf-ngram,0.9141978298289287,8030,391
0,0.7955555555555556,0.3772257752375419,0.37457511896668927,126,1714,SVR-C1000epsilon0.1gamma0.001kernelrbf--tfidf-ngram,0.8781496736899101,6609,551
0,0.8708888888888889,0.572597637164222,0.47845601436265706,144,1018,SVR-C1000epsilon0.1gamma0.0001kernelrbf--tfidf-ngram,0.9203613662625556,7305,533
0,0.7894444444444444,0.35512421116634874,0.36854381872709097,124,1771,SVR-C1000epsilon0.01gamma0.001kernelrbf--tfidf-ngram,0.8746437902053199,6552,553
0,0.8747777777777778,0.5622537358584966,0.47703016241299306,163,964,SVR-C1000epsilon0.01gamma0.0001kernelrbf--tfidf-ngram,0.9152639080436107,7359,514
0,0.7876666666666666,0.3518539746421782,0.36574842349817455,126,1785,SVR-C1000epsilon0.001gamma0.001kernelrbf--tfidf-ngram,0.8739972573376511,6538,551
0,0.8762222222222222,0.5612591290111426,0.48041044776119407,162,952,SVR-C1000epsilon0.001gamma0.0001kernelrbf--tfidf-ngram,0.9148667242506261,7371,515
