,accuracy_score,average_precision_score,f1_score,fn,fp,name,roc_auc_score,tn,tp
0,0.645635624152675,0.22724014065712836,0.26130434782608697,79,3319,ComplementNB-alpha0.8fit_priorTruenormFalse-tfidf-1-1-100,0.8056658666384952,5590,601
0,0.6217540932318282,0.21450052383882057,0.2513931888544892,71,3556,ComplementNB-alpha0.8fit_priorTruenormFalse-tfidf-1-2-100,0.7935669811756783,5353,609
0,0.6157054958806967,0.21360850840014173,0.24903199510902793,69,3616,ComplementNB-alpha0.8fit_priorTruenormFalse-tfidf-1-3-100,0.7917845800347303,5293,611
0,0.6157054958806967,0.21360850840014173,0.24903199510902793,69,3616,ComplementNB-alpha0.8fit_priorTruenormFalse-tfidf-1-4-100,0.7917845800347303,5293,611
0,0.7065387423088956,0.3446174148029751,0.2940291018564978,94,2720,ComplementNB-alpha0.8fit_priorTruenormFalse-tfidf-1-1-200,0.8565726661076374,6189,586
0,0.6947544060903118,0.33517103438620444,0.28731434136839534,90,2837,ComplementNB-alpha0.8fit_priorTruenormFalse-tfidf-1-2-200,0.8521507497375423,6072,590
0,0.6908958181249348,0.3342973536546129,0.28474903474903474,90,2874,ComplementNB-alpha0.8fit_priorTruenormFalse-tfidf-1-3-200,0.8506374089651575,6035,590
0,0.6874543748044635,0.32661512779911295,0.28077753779697623,95,2902,ComplementNB-alpha0.8fit_priorTruenormFalse-tfidf-1-4-200,0.8455671891609939,6007,585
0,0.7708833037855877,0.4496570618590231,0.3400420546710724,114,2083,ComplementNB-alpha0.8fit_priorTruenormFalse-tfidf-1-1-400,0.8861777251028373,6826,566
0,0.7554489519240797,0.4481142932804585,0.33133732534930144,99,2246,ComplementNB-alpha0.8fit_priorTruenormFalse-tfidf-1-2-400,0.8826781245666973,6663,581
0,0.746271769736156,0.44596153007402284,0.32322670375521556,99,2334,ComplementNB-alpha0.8fit_priorTruenormFalse-tfidf-1-3-400,0.8803315219903204,6575,581
0,0.7389717384503076,0.43799103568701836,0.3196520793693938,92,2411,ComplementNB-alpha0.8fit_priorTruenormFalse-tfidf-1-4-400,0.8785297253933564,6498,588
0,0.8003962874126603,0.5228289524154464,0.3813833225597931,90,1824,ComplementNB-alpha0.8fit_priorTruenormFalse-tfidf-1-1-800,0.9087532105669746,7085,590
0,0.7898633851287934,0.5128158000113993,0.37050921587004065,87,1928,ComplementNB-alpha0.8fit_priorTruenormFalse-tfidf-1-2-800,0.9056314500207985,6981,593
0,0.7843362185837939,0.5097873711289089,0.36525475751995085,85,1983,ComplementNB-alpha0.8fit_priorTruenormFalse-tfidf-1-3-800,0.9047702092398302,6926,595
