,accuracy_score,average_precision_score,f1_score,fn,fp,name,roc_auc_score,tn,tp
0,0.9268954009802899,0.300161763442509,0.393073593073593,453,248,KNeighborsRegressor-leaf_size40n_jobs-1n_neighbors3weightsuniform--tfidf,0.7232650558258997,8661,227
0,0.9302325581395349,0.37311240981333227,0.45742092457420924,398,271,KNeighborsRegressor-leaf_size40n_jobs-1n_neighbors3weightsdistance--tfidf,0.7267351917756664,8638,282
0,0.9344040045885911,0.33800306811100933,0.3508771929824561,510,119,KNeighborsRegressor-leaf_size40n_jobs-1n_neighbors5weightsuniform--tfidf,0.7220126045703947,8790,170
0,0.9384711648764209,0.4206279363471354,0.44022770398481975,448,142,KNeighborsRegressor-leaf_size40n_jobs-1n_neighbors5weightsdistance--tfidf,0.7263910255987006,8767,232
0,0.9384711648764209,0.33592534000702956,0.2769607843137255,567,23,KNeighborsRegressor-leaf_size40n_jobs-1n_neighbors10weightsuniform--tfidf,0.7211237149478715,8886,113
0,0.944415476066326,0.4153328155925208,0.43116328708644613,478,55,KNeighborsRegressor-leaf_size40n_jobs-1n_neighbors10weightsdistance--tfidf,0.7257352115837917,8854,202
0,0.9375325894253832,0.33326361922592024,0.22709677419354843,592,7,KNeighborsRegressor-leaf_size40n_jobs-1n_neighbors15weightsuniform--tfidf,0.7199521468706463,8902,88
0,0.9439983314214204,0.41119721898858036,0.41053787047200874,493,44,KNeighborsRegressor-leaf_size40n_jobs-1n_neighbors15weightsdistance--tfidf,0.7252028682165425,8865,187
0,0.9371154447804776,0.33280247617367087,0.20762155059132723,601,2,KNeighborsRegressor-leaf_size40n_jobs-1n_neighbors20weightsuniform--tfidf,0.7198016876522749,8907,79
0,0.9441026175826468,0.41006973136600244,0.40707964601769914,496,40,KNeighborsRegressor-leaf_size40n_jobs-1n_neighbors20weightsdistance--tfidf,0.7250314453989025,8869,184
0,0.9353425800396288,0.27675572463682335,0.16666666666666666,618,2,KNeighborsRegressor-leaf_size40n_jobs-1n_neighbors25weightsuniform--tfidf,0.7194367229437516,8907,62
0,0.9439983314214204,0.43317571683815453,0.4039955604883463,498,39,KNeighborsRegressor-leaf_size40n_jobs-1n_neighbors25weightsdistance--tfidf,0.7952450595234166,8870,182
0,0.9349254353947232,0.23784825191981127,0.15675675675675677,622,2,KNeighborsRegressor-leaf_size40n_jobs-1n_neighbors30weightsuniform--tfidf,0.6960334229100777,8907,58
0,0.9439983314214204,0.4435097201988519,0.4039955604883463,498,39,KNeighborsRegressor-leaf_size40n_jobs-1n_neighbors30weightsdistance--tfidf,0.7923535684337715,8870,182
0,0.9268954009802899,0.300161763442509,0.393073593073593,453,248,KNeighborsRegressor-leaf_size50n_jobs-1n_neighbors3weightsuniform--tfidf,0.7232650558258997,8661,227
0,0.9302325581395349,0.37311240981333227,0.45742092457420924,398,271,KNeighborsRegressor-leaf_size50n_jobs-1n_neighbors3weightsdistance--tfidf,0.7267351917756664,8638,282
0,0.9344040045885911,0.33800306811100933,0.3508771929824561,510,119,KNeighborsRegressor-leaf_size50n_jobs-1n_neighbors5weightsuniform--tfidf,0.7220126045703947,8790,170
0,0.9384711648764209,0.4206279363471354,0.44022770398481975,448,142,KNeighborsRegressor-leaf_size50n_jobs-1n_neighbors5weightsdistance--tfidf,0.7263910255987006,8767,232
0,0.9384711648764209,0.33592534000702956,0.2769607843137255,567,23,KNeighborsRegressor-leaf_size50n_jobs-1n_neighbors10weightsuniform--tfidf,0.7211237149478715,8886,113
0,0.944415476066326,0.4153328155925208,0.43116328708644613,478,55,KNeighborsRegressor-leaf_size50n_jobs-1n_neighbors10weightsdistance--tfidf,0.7257352115837917,8854,202
0,0.9375325894253832,0.33326361922592024,0.22709677419354843,592,7,KNeighborsRegressor-leaf_size50n_jobs-1n_neighbors15weightsuniform--tfidf,0.7199521468706463,8902,88
0,0.9439983314214204,0.41119721898858036,0.41053787047200874,493,44,KNeighborsRegressor-leaf_size50n_jobs-1n_neighbors15weightsdistance--tfidf,0.7252028682165425,8865,187
0,0.9371154447804776,0.33280247617367087,0.20762155059132723,601,2,KNeighborsRegressor-leaf_size50n_jobs-1n_neighbors20weightsuniform--tfidf,0.7198016876522749,8907,79
0,0.9441026175826468,0.41006973136600244,0.40707964601769914,496,40,KNeighborsRegressor-leaf_size50n_jobs-1n_neighbors20weightsdistance--tfidf,0.7250314453989025,8869,184
0,0.9353425800396288,0.27675572463682335,0.16666666666666666,618,2,KNeighborsRegressor-leaf_size50n_jobs-1n_neighbors25weightsuniform--tfidf,0.7194367229437516,8907,62
0,0.9439983314214204,0.43317571683815453,0.4039955604883463,498,39,KNeighborsRegressor-leaf_size50n_jobs-1n_neighbors25weightsdistance--tfidf,0.7952450595234166,8870,182
0,0.9349254353947232,0.23784825191981127,0.15675675675675677,622,2,KNeighborsRegressor-leaf_size50n_jobs-1n_neighbors30weightsuniform--tfidf,0.6960334229100777,8907,58
0,0.9439983314214204,0.4435097201988519,0.4039955604883463,498,39,KNeighborsRegressor-leaf_size50n_jobs-1n_neighbors30weightsdistance--tfidf,0.7923535684337715,8870,182
0,0.9268954009802899,0.300161763442509,0.393073593073593,453,248,KNeighborsRegressor-leaf_size60n_jobs-1n_neighbors3weightsuniform--tfidf,0.7232650558258997,8661,227
0,0.9302325581395349,0.37311240981333227,0.45742092457420924,398,271,KNeighborsRegressor-leaf_size60n_jobs-1n_neighbors3weightsdistance--tfidf,0.7267351917756664,8638,282
0,0.9344040045885911,0.33800306811100933,0.3508771929824561,510,119,KNeighborsRegressor-leaf_size60n_jobs-1n_neighbors5weightsuniform--tfidf,0.7220126045703947,8790,170
0,0.9384711648764209,0.4206279363471354,0.44022770398481975,448,142,KNeighborsRegressor-leaf_size60n_jobs-1n_neighbors5weightsdistance--tfidf,0.7263910255987006,8767,232
0,0.9384711648764209,0.33592534000702956,0.2769607843137255,567,23,KNeighborsRegressor-leaf_size60n_jobs-1n_neighbors10weightsuniform--tfidf,0.7211237149478715,8886,113
0,0.944415476066326,0.4153328155925208,0.43116328708644613,478,55,KNeighborsRegressor-leaf_size60n_jobs-1n_neighbors10weightsdistance--tfidf,0.7257352115837917,8854,202
