,accuracy_score,average_precision_score,f1_score,fn,fp,name,roc_auc_score,tn,tp
0,0.8555636667014287,0.2411514372725772,0.3543123543123543,300,1085,KNeighborsRegressor-leaf_size40n_jobs-1n_neighbors3weightsuniform-bal-1680715466.762402,0.7820781859718856,7824,380
0,0.8551465220565231,0.29151082193213196,0.3779668607254814,258,1131,KNeighborsRegressor-leaf_size40n_jobs-1n_neighbors3weightsdistance-bal-1680715466.762402,0.794386789961242,7778,422
0,0.6877672332881427,0.2553728802721059,0.2643734643734644,142,2852,KNeighborsRegressor-leaf_size40n_jobs-1n_neighbors5weightsuniform-bal-1680715466.762402,0.8102204149141978,6057,538
0,0.6943372614454062,0.3272046171894921,0.2746844840386043,125,2806,KNeighborsRegressor-leaf_size40n_jobs-1n_neighbors5weightsdistance-bal-1680715466.762402,0.840434078559025,6103,555
0,0.6036083011784337,0.3081390065557872,0.22349336057201227,133,3668,KNeighborsRegressor-leaf_size40n_jobs-1n_neighbors10weightsuniform-bal-1680715466.762402,0.7968142757158986,5241,547
0,0.6914172489310668,0.4129594916385244,0.2644792443450162,148,2811,KNeighborsRegressor-leaf_size40n_jobs-1n_neighbors10weightsdistance-bal-1680715466.762402,0.8341462367863297,6098,532
0,0.6963186985087079,0.31959827557276566,0.25256673511293637,188,2724,KNeighborsRegressor-leaf_size40n_jobs-1n_neighbors15weightsuniform-bal-1680715466.762402,0.7894203152133005,6185,492
0,0.7115444780477631,0.42487693251257347,0.27133825079030555,165,2601,KNeighborsRegressor-leaf_size40n_jobs-1n_neighbors15weightsdistance-bal-1680715466.762402,0.8303750173321097,6308,515
0,0.6448013348628637,0.3082808734808458,0.23529411764705882,156,3250,KNeighborsRegressor-leaf_size40n_jobs-1n_neighbors20weightsuniform-bal-1680715466.762402,0.7841907225343835,5659,524
0,0.7052873083741787,0.4264759441104893,0.2727740607308286,150,2676,KNeighborsRegressor-leaf_size40n_jobs-1n_neighbors20weightsdistance-bal-1680715466.762402,0.8278680514747149,6233,530
0,0.6827614975492752,0.3156219300181874,0.24665676077265972,182,2860,KNeighborsRegressor-leaf_size40n_jobs-1n_neighbors25weightsuniform-bal-1680715466.762402,0.7874025275167873,6049,498
0,0.6995515695067265,0.4300986061383837,0.2648634855830569,161,2720,KNeighborsRegressor-leaf_size40n_jobs-1n_neighbors25weightsdistance-bal-1680715466.762402,0.8293486263065108,6189,519
0,0.6288455521952236,0.3194563113178706,0.23115143659537696,145,3414,KNeighborsRegressor-leaf_size40n_jobs-1n_neighbors30weightsuniform-bal-1680715466.762402,0.7888387816682403,5495,535
0,0.6927729690270101,0.4368692368885092,0.2653366583541147,148,2798,KNeighborsRegressor-leaf_size40n_jobs-1n_neighbors30weightsdistance-bal-1680715466.762402,0.8323343710590084,6111,532
0,0.8555636667014287,0.2411514372725772,0.3543123543123543,300,1085,KNeighborsRegressor-leaf_size50n_jobs-1n_neighbors3weightsuniform-bal-1680715466.762402,0.7820781859718856,7824,380
