,accuracy_score,average_precision_score,f1_score,fn,fp,name,roc_auc_score,tn,tp
0,0.7469929489838242,0.5385296347190337,0.6576879910213244,692,1138,DecisionTreeRegressor-criterionsquared_errormax_depthNonemin_samples_split2splitterbest--tfidf-ngram,0.7473787265271987,3645,1758
0,0.7500345638047836,0.5589094509936195,0.6625606569615528,675,1133,DecisionTreeRegressor-criterionsquared_errormax_depthNonemin_samples_split5splitterbest--tfidf-ngram,0.7644926120144901,3650,1775
0,0.7233513065118208,0.4893347349945234,0.39819548872180455,1788,213,DecisionTreeRegressor-criterionsquared_errormax_depth10min_samples_split2splitterbest--tfidf-ngram,0.6867603800876403,4570,662
0,0.7208627125673994,0.4851219044657003,0.3931469792605951,1796,223,DecisionTreeRegressor-criterionsquared_errormax_depth10min_samples_split5splitterbest--tfidf-ngram,0.6822476713871832,4560,654
0,0.587861191759989,0.5102767000733544,0.6016303621542163,199,2782,DecisionTreeRegressor-criterionsquared_errormax_depth20min_samples_split2splitterbest--tfidf-ngram,0.7315262387622831,2001,2251
0,0.5864786395686438,0.515154714209863,0.5999732513039989,207,2784,DecisionTreeRegressor-criterionsquared_errormax_depth20min_samples_split5splitterbest--tfidf-ngram,0.7313568036455644,1999,2243
0,0.6073551776579565,0.5437586297673933,0.610211364260225,227,2613,DecisionTreeRegressor-criterionsquared_errormax_depth30min_samples_split2splitterbest--tfidf-ngram,0.7499402219595761,2170,2223
0,0.6038987971795935,0.5508072450869019,0.6062938023910953,244,2621,DecisionTreeRegressor-criterionsquared_errormax_depth30min_samples_split5splitterbest--tfidf-ngram,0.7474360724846075,2162,2206
0,0.6327941379787086,0.5349198271188278,0.6202459250786388,281,2375,DecisionTreeRegressor-criterionsquared_errormax_depth40min_samples_split2splitterbest--tfidf-ngram,0.7477984955219805,2408,2169
0,0.634729711046592,0.5579489552780587,0.6230022831050228,267,2375,DecisionTreeRegressor-criterionsquared_errormax_depth40min_samples_split5splitterbest--tfidf-ngram,0.7585104984916818,2408,2183
0,0.6419189824415872,0.5644246242715464,0.6269086718524921,274,2316,DecisionTreeRegressor-criterionsquared_errormax_depth50min_samples_split2splitterbest--tfidf-ngram,0.7671228031250134,2467,2176
0,0.6417807272224526,0.5756457713748331,0.6255239196415667,286,2305,DecisionTreeRegressor-criterionsquared_errormax_depth50min_samples_split5splitterbest--tfidf-ngram,0.7695701186600503,2478,2164
0,0.7396654223696945,0.5840295691156726,0.6258692628650904,875,1008,DecisionTreeRegressor-criterionpoissonmax_depthNonemin_samples_split2splitterbest--tfidf-ngram,0.7830485520572436,3775,1575
0,0.7315083644407576,0.5794198023199737,0.6278267535454197,812,1130,DecisionTreeRegressor-criterionpoissonmax_depthNonemin_samples_split5splitterbest--tfidf-ngram,0.7800350305290421,3653,1638
0,0.5501175169362643,0.4581274830049955,0.5847371107708015,159,3095,DecisionTreeRegressor-criterionpoissonmax_depth10min_samples_split2splitterbest--tfidf-ngram,0.6766540937930682,1688,2291
0,0.5495644960597262,0.4568895459737755,0.5845447589900535,158,3100,DecisionTreeRegressor-criterionpoissonmax_depth10min_samples_split5splitterbest--tfidf-ngram,0.6736916460081839,1683,2292
0,0.5954652288123876,0.48636510166882224,0.6042737354611847,216,2710,DecisionTreeRegressor-criterionpoissonmax_depth20min_samples_split2splitterbest--tfidf-ngram,0.7151568266863508,2073,2234
0,0.5967095257845983,0.4917449650727008,0.6053308077391422,213,2704,DecisionTreeRegressor-criterionpoissonmax_depth20min_samples_split5splitterbest--tfidf-ngram,0.715225095683266,2079,2237
0,0.6112263237937232,0.5086371842765279,0.6084656084656085,265,2547,DecisionTreeRegressor-criterionpoissonmax_depth30min_samples_split2splitterbest--tfidf-ngram,0.7336046457052401,2236,2185
0,0.6126088759850684,0.5131193864745178,0.6108333333333333,251,2551,DecisionTreeRegressor-criterionpoissonmax_depth30min_samples_split5splitterbest--tfidf-ngram,0.7317651802514858,2232,2199
